Year,Region,Category,Indicator,Characteristic,Age,Sex,Result,Unit,Significants (g),Comments
2010,VIC,Alcohol,Drinking status,Daily,14+,Persons,6.6,Per cent,,
2010,VIC,Alcohol,Drinking status,Weekly,14+,Persons,37.9,Per cent,,
2010,VIC,Alcohol,Drinking status,Less than weekly,14+,Persons,34.7,Per cent,,
2010,VIC,Alcohol,Drinking status,Ex-drinker,14+,Persons,7.4,Per cent,,
2010,VIC,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,13.5,Per cent,,
2013,VIC,Alcohol,Drinking status,Daily,14+,Males,7.2,Per cent,,
2013,VIC,Alcohol,Drinking status,Weekly,14+,Males,42.2,Per cent,,
2013,VIC,Alcohol,Drinking status,Less than weekly,14+,Males,30.3,Per cent,,
2013,VIC,Alcohol,Drinking status,Ex-drinker,14+,Males,7.2,Per cent,,
2013,VIC,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,13.1,Per cent,,
2013,VIC,Alcohol,Drinking status,Daily,14+,Females,3.9,Per cent,,
2013,VIC,Alcohol,Drinking status,Weekly,14+,Females,30.3,Per cent,,
2013,VIC,Alcohol,Drinking status,Less than weekly,14+,Females,39.5,Per cent,,
2013,VIC,Alcohol,Drinking status,Ex-drinker,14+,Females,7.6,Per cent,,
2013,VIC,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,18.6,Per cent,,
2013,VIC,Alcohol,Drinking status,Daily,14+,Persons,5.5,Per cent,,
2013,VIC,Alcohol,Drinking status,Weekly,14+,Persons,36.2,Per cent,,
2013,VIC,Alcohol,Drinking status,Less than weekly,14+,Persons,35,Per cent,,
2013,VIC,Alcohol,Drinking status,Ex-drinker,14+,Persons,7.4,Per cent,,
2013,VIC,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,15.9,Per cent,,
2016,VIC,Alcohol,Drinking status,Daily,14+,Males,6.6,Per cent,,
2016,VIC,Alcohol,Drinking status,Weekly,14+,Males,40.4,Per cent,,
2016,VIC,Alcohol,Drinking status,Less than weekly,14+,Males,33,Per cent,,
2016,VIC,Alcohol,Drinking status,Ex-drinker,14+,Males,6.6,Per cent,,
2016,VIC,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,13.5,Per cent,,
2016,VIC,Alcohol,Drinking status,Daily,14+,Females,3.3,Per cent,,
2016,VIC,Alcohol,Drinking status,Weekly,14+,Females,29.9,Per cent,,
2016,VIC,Alcohol,Drinking status,Less than weekly,14+,Females,41.3,Per cent,,
2016,VIC,Alcohol,Drinking status,Ex-drinker,14+,Females,8.1,Per cent,,
2016,VIC,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,17.4,Per cent,,
2016,VIC,Alcohol,Drinking status,Daily,14+,Persons,4.9,Per cent,,
2016,VIC,Alcohol,Drinking status,Weekly,14+,Persons,35,Per cent,,
2016,VIC,Alcohol,Drinking status,Less than weekly,14+,Persons,37.2,Per cent,,
2016,VIC,Alcohol,Drinking status,Ex-drinker,14+,Persons,7.4,Per cent,,
2016,VIC,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,15.5,Per cent,,
2010,Qld,Alcohol,Drinking status,Daily,14+,Males,11.2,Per cent,,
2010,Qld,Alcohol,Drinking status,Weekly,14+,Males,46.8,Per cent,,
2010,Qld,Alcohol,Drinking status,Less than weekly,14+,Males,28.4,Per cent,,
2010,Qld,Alcohol,Drinking status,Ex-drinker,14+,Males,6.3,Per cent,,
2010,Qld,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,7.2,Per cent,,
2010,Qld,Alcohol,Drinking status,Daily,14+,Females,5.4,Per cent,,
2010,Qld,Alcohol,Drinking status,Weekly,14+,Females,34.5,Per cent,,
2010,Qld,Alcohol,Drinking status,Less than weekly,14+,Females,40.1,Per cent,,
2010,Qld,Alcohol,Drinking status,Ex-drinker,14+,Females,8.7,Per cent,,
2010,Qld,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,11.2,Per cent,,
2010,Qld,Alcohol,Drinking status,Daily,14+,Persons,8.3,Per cent,,
2010,Qld,Alcohol,Drinking status,Weekly,14+,Persons,40.6,Per cent,,
2010,Qld,Alcohol,Drinking status,Less than weekly,14+,Persons,34.3,Per cent,,
2010,Qld,Alcohol,Drinking status,Ex-drinker,14+,Persons,7.5,Per cent,,
2010,Qld,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,9.3,Per cent,,
2013,Qld,Alcohol,Drinking status,Daily,14+,Males,9.6,Per cent,,
2013,Qld,Alcohol,Drinking status,Weekly,14+,Males,42.7,Per cent,,
2013,Qld,Alcohol,Drinking status,Less than weekly,14+,Males,30.9,Per cent,,
2013,Qld,Alcohol,Drinking status,Ex-drinker,14+,Males,7,Per cent,,
2013,Qld,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,9.7,Per cent,,
2013,Qld,Alcohol,Drinking status,Daily,14+,Females,5.3,Per cent,,
2013,Qld,Alcohol,Drinking status,Weekly,14+,Females,32,Per cent,,
2013,Qld,Alcohol,Drinking status,Less than weekly,14+,Females,40.3,Per cent,,
2013,Qld,Alcohol,Drinking status,Ex-drinker,14+,Females,9.3,Per cent,,
2013,Qld,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,13.1,Per cent,,
2013,Qld,Alcohol,Drinking status,Daily,14+,Persons,7.4,Per cent,,
2013,Qld,Alcohol,Drinking status,Weekly,14+,Persons,37.3,Per cent,,
2013,Qld,Alcohol,Drinking status,Less than weekly,14+,Persons,35.7,Per cent,,
2013,Qld,Alcohol,Drinking status,Ex-drinker,14+,Persons,8.2,Per cent,,
2013,Qld,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,11.4,Per cent,,
2016,Qld,Alcohol,Drinking status,Daily,14+,Males,8.8,Per cent,,
2016,Qld,Alcohol,Drinking status,Weekly,14+,Males,41.8,Per cent,,
2016,Qld,Alcohol,Drinking status,Less than weekly,14+,Males,31.3,Per cent,,
2016,Qld,Alcohol,Drinking status,Ex-drinker,14+,Males,7.9,Per cent,,
2016,Qld,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,10.2,Per cent,,
2016,Qld,Alcohol,Drinking status,Daily,14+,Females,4.2,Per cent,,
2016,Qld,Alcohol,Drinking status,Weekly,14+,Females,29.5,Per cent,,
2016,Qld,Alcohol,Drinking status,Less than weekly,14+,Females,44,Per cent,,#
2016,Qld,Alcohol,Drinking status,Ex-drinker,14+,Females,9.2,Per cent,,
2016,Qld,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,13.1,Per cent,,
2016,Qld,Alcohol,Drinking status,Daily,14+,Persons,6.4,Per cent,,
2016,Qld,Alcohol,Drinking status,Weekly,14+,Persons,35.6,Per cent,,
2016,Qld,Alcohol,Drinking status,Less than weekly,14+,Persons,37.8,Per cent,,
2016,Qld,Alcohol,Drinking status,Ex-drinker,14+,Persons,8.5,Per cent,,
2016,Qld,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,11.7,Per cent,,
2010,WA,Alcohol,Drinking status,Daily,14+,Males,11.2,Per cent,,
2010,WA,Alcohol,Drinking status,Weekly,14+,Males,46.9,Per cent,,
2010,WA,Alcohol,Drinking status,Less than weekly,14+,Males,27.9,Per cent,,
2010,WA,Alcohol,Drinking status,Ex-drinker,14+,Males,5.9,Per cent,,
2010,WA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,8,Per cent,,
2010,WA,Alcohol,Drinking status,Daily,14+,Females,3.7,Per cent,,
2010,WA,Alcohol,Drinking status,Weekly,14+,Females,39.9,Per cent,,
2010,WA,Alcohol,Drinking status,Less than weekly,14+,Females,36.2,Per cent,,
2010,WA,Alcohol,Drinking status,Ex-drinker,14+,Females,8.1,Per cent,,
2010,WA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,12.2,Per cent,,
2010,WA,Alcohol,Drinking status,Daily,14+,Persons,7.5,Per cent,,
2010,WA,Alcohol,Drinking status,Weekly,14+,Persons,43.4,Per cent,,
2010,WA,Alcohol,Drinking status,Less than weekly,14+,Persons,32,Per cent,,
2010,WA,Alcohol,Drinking status,Ex-drinker,14+,Persons,7,Per cent,,
2010,WA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,10.1,Per cent,,
2013,WA,Alcohol,Drinking status,Daily,14+,Males,9.5,Per cent,,
2013,WA,Alcohol,Drinking status,Weekly,14+,Males,50.2,Per cent,,
2013,WA,Alcohol,Drinking status,Less than weekly,14+,Males,25.2,Per cent,,
2013,WA,Alcohol,Drinking status,Ex-drinker,14+,Males,7.4,Per cent,,
2013,WA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,7.7,Per cent,,
2013,WA,Alcohol,Drinking status,Daily,14+,Females,4.4,Per cent,,
2013,WA,Alcohol,Drinking status,Weekly,14+,Females,35.4,Per cent,,
2013,WA,Alcohol,Drinking status,Less than weekly,14+,Females,38.9,Per cent,,
2013,WA,Alcohol,Drinking status,Ex-drinker,14+,Females,8.4,Per cent,,
2013,WA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,13,Per cent,,
2013,WA,Alcohol,Drinking status,Daily,14+,Persons,7,Per cent,,
2013,WA,Alcohol,Drinking status,Weekly,14+,Persons,42.9,Per cent,,
2013,WA,Alcohol,Drinking status,Less than weekly,14+,Persons,32,Per cent,,
2013,WA,Alcohol,Drinking status,Ex-drinker,14+,Persons,7.9,Per cent,,
2013,WA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,10.3,Per cent,,
2016,WA,Alcohol,Drinking status,Daily,14+,Males,8,Per cent,,
2016,WA,Alcohol,Drinking status,Weekly,14+,Males,40.3,Per cent,,#
2016,WA,Alcohol,Drinking status,Less than weekly,14+,Males,28.7,Per cent,,
2016,WA,Alcohol,Drinking status,Ex-drinker,14+,Males,8.8,Per cent,,
2016,WA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,14.2,Per cent,,#
2016,WA,Alcohol,Drinking status,Daily,14+,Females,4.8,Per cent,,
2016,WA,Alcohol,Drinking status,Weekly,14+,Females,33.4,Per cent,,
2016,WA,Alcohol,Drinking status,Less than weekly,14+,Females,34.9,Per cent,,
2016,WA,Alcohol,Drinking status,Ex-drinker,14+,Females,10.9,Per cent,,
2016,WA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,16,Per cent,,
2016,WA,Alcohol,Drinking status,Daily,14+,Persons,6.4,Per cent,,
2016,WA,Alcohol,Drinking status,Weekly,14+,Persons,36.8,Per cent,,#
2016,WA,Alcohol,Drinking status,Less than weekly,14+,Persons,31.8,Per cent,,
2016,WA,Alcohol,Drinking status,Ex-drinker,14+,Persons,9.8,Per cent,,
2016,WA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,15.2,Per cent,,#
2010,SA,Alcohol,Drinking status,Daily,14+,Males,7.4,Per cent,,
2010,SA,Alcohol,Drinking status,Weekly,14+,Males,47.6,Per cent,,
2010,SA,Alcohol,Drinking status,Less than weekly,14+,Males,28.7,Per cent,,
2010,SA,Alcohol,Drinking status,Ex-drinker,14+,Males,7.3,Per cent,,
2010,SA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,9,Per cent,,
2010,SA,Alcohol,Drinking status,Daily,14+,Females,4.7,Per cent,,
2010,SA,Alcohol,Drinking status,Weekly,14+,Females,34.5,Per cent,,
2010,SA,Alcohol,Drinking status,Less than weekly,14+,Females,39.3,Per cent,,
2010,SA,Alcohol,Drinking status,Ex-drinker,14+,Females,8.8,Per cent,,
2010,SA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,12.7,Per cent,,
2010,SA,Alcohol,Drinking status,Daily,14+,Persons,6,Per cent,,
2010,SA,Alcohol,Drinking status,Weekly,14+,Persons,40.9,Per cent,,
2010,SA,Alcohol,Drinking status,Less than weekly,14+,Persons,34.1,Per cent,,
2010,SA,Alcohol,Drinking status,Ex-drinker,14+,Persons,8.1,Per cent,,
2010,SA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,10.9,Per cent,,
2013,SA,Alcohol,Drinking status,Daily,14+,Males,7.8,Per cent,,
2013,SA,Alcohol,Drinking status,Weekly,14+,Males,46.5,Per cent,,
2013,SA,Alcohol,Drinking status,Less than weekly,14+,Males,24.3,Per cent,,
2013,SA,Alcohol,Drinking status,Ex-drinker,14+,Males,8.4,Per cent,,
2013,SA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,13,Per cent,,
2013,SA,Alcohol,Drinking status,Daily,14+,Females,5.1,Per cent,,
2013,SA,Alcohol,Drinking status,Weekly,14+,Females,29.3,Per cent,,
2013,SA,Alcohol,Drinking status,Less than weekly,14+,Females,46.1,Per cent,,
2013,SA,Alcohol,Drinking status,Ex-drinker,14+,Females,9.4,Per cent,,
2013,SA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,10.1,Per cent,,
2013,SA,Alcohol,Drinking status,Daily,14+,Persons,6.4,Per cent,,
2013,SA,Alcohol,Drinking status,Weekly,14+,Persons,37.8,Per cent,,
2013,SA,Alcohol,Drinking status,Less than weekly,14+,Persons,35.3,Per cent,,
2013,SA,Alcohol,Drinking status,Ex-drinker,14+,Persons,8.9,Per cent,,
2013,SA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,11.5,Per cent,,
2016,SA,Alcohol,Drinking status,Daily,14+,Males,8.3,Per cent,,
2016,SA,Alcohol,Drinking status,Weekly,14+,Males,40.3,Per cent,,#
2016,SA,Alcohol,Drinking status,Less than weekly,14+,Males,32,Per cent,,#
2016,SA,Alcohol,Drinking status,Ex-drinker,14+,Males,7.2,Per cent,,
2016,SA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,12.2,Per cent,,
2016,SA,Alcohol,Drinking status,Daily,14+,Females,3.6,Per cent,,
2016,SA,Alcohol,Drinking status,Weekly,14+,Females,31.5,Per cent,,
2016,SA,Alcohol,Drinking status,Less than weekly,14+,Females,41.6,Per cent,,
2016,SA,Alcohol,Drinking status,Ex-drinker,14+,Females,7.2,Per cent,,
2016,SA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,16,Per cent,,#
2016,SA,Alcohol,Drinking status,Daily,14+,Persons,5.9,Per cent,,
2016,SA,Alcohol,Drinking status,Weekly,14+,Persons,35.8,Per cent,,
2016,SA,Alcohol,Drinking status,Less than weekly,14+,Persons,36.9,Per cent,,
2016,SA,Alcohol,Drinking status,Ex-drinker,14+,Persons,7.2,Per cent,,
2016,SA,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,14.2,Per cent,,
2010,Tas,Alcohol,Drinking status,Daily,14+,Males,9.2,Per cent,,
2010,Tas,Alcohol,Drinking status,Weekly,14+,Males,47.6,Per cent,,
2010,Tas,Alcohol,Drinking status,Less than weekly,14+,Males,33.4,Per cent,,
2010,Tas,Alcohol,Drinking status,Ex-drinker,14+,Males,4.6,Per cent,,
2010,Tas,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,5.3,Per cent,,*
2010,Tas,Alcohol,Drinking status,Daily,14+,Females,3.8,Per cent,,
2010,Tas,Alcohol,Drinking status,Weekly,14+,Females,32.3,Per cent,,
2010,Tas,Alcohol,Drinking status,Less than weekly,14+,Females,45.1,Per cent,,
2010,Tas,Alcohol,Drinking status,Ex-drinker,14+,Females,10,Per cent,,
2010,Tas,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,8.8,Per cent,,
2010,Tas,Alcohol,Drinking status,Daily,14+,Persons,6.4,Per cent,,
2010,Tas,Alcohol,Drinking status,Weekly,14+,Persons,39.7,Per cent,,
2010,Tas,Alcohol,Drinking status,Less than weekly,14+,Persons,39.4,Per cent,,
2010,Tas,Alcohol,Drinking status,Ex-drinker,14+,Persons,7.3,Per cent,,
2010,Tas,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,7.1,Per cent,,
2013,Tas,Alcohol,Drinking status,Daily,14+,Males,7.1,Per cent,,
2013,Tas,Alcohol,Drinking status,Weekly,14+,Males,46.1,Per cent,,
2013,Tas,Alcohol,Drinking status,Less than weekly,14+,Males,32.5,Per cent,,
2013,Tas,Alcohol,Drinking status,Ex-drinker,14+,Males,6.4,Per cent,,
2013,Tas,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,7.9,Per cent,,
2013,Tas,Alcohol,Drinking status,Daily,14+,Females,4.6,Per cent,,
2013,Tas,Alcohol,Drinking status,Weekly,14+,Females,31.8,Per cent,,
2013,Tas,Alcohol,Drinking status,Less than weekly,14+,Females,44.3,Per cent,,
2013,Tas,Alcohol,Drinking status,Ex-drinker,14+,Females,9,Per cent,,
2013,Tas,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,10.3,Per cent,,
2013,Tas,Alcohol,Drinking status,Daily,14+,Persons,5.9,Per cent,,
2013,Tas,Alcohol,Drinking status,Weekly,14+,Persons,38.9,Per cent,,
2013,Tas,Alcohol,Drinking status,Less than weekly,14+,Persons,38.5,Per cent,,
2013,Tas,Alcohol,Drinking status,Ex-drinker,14+,Persons,7.7,Per cent,,
2013,Tas,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,9.1,Per cent,,
2016,Tas,Alcohol,Drinking status,Daily,14+,Males,6.7,Per cent,,
2016,Tas,Alcohol,Drinking status,Weekly,14+,Males,41.3,Per cent,,
2016,Tas,Alcohol,Drinking status,Less than weekly,14+,Males,35.6,Per cent,,
2016,Tas,Alcohol,Drinking status,Ex-drinker,14+,Males,9.1,Per cent,,
2016,Tas,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,7.4,Per cent,,
2016,Tas,Alcohol,Drinking status,Daily,14+,Females,4.5,Per cent,,
2016,Tas,Alcohol,Drinking status,Weekly,14+,Females,33.1,Per cent,,
2016,Tas,Alcohol,Drinking status,Less than weekly,14+,Females,43.4,Per cent,,
2016,Tas,Alcohol,Drinking status,Ex-drinker,14+,Females,9,Per cent,,
2016,Tas,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,9.9,Per cent,,
2016,Tas,Alcohol,Drinking status,Daily,14+,Persons,5.6,Per cent,,
2016,Tas,Alcohol,Drinking status,Weekly,14+,Persons,37.1,Per cent,,
2016,Tas,Alcohol,Drinking status,Less than weekly,14+,Persons,39.6,Per cent,,
2016,Tas,Alcohol,Drinking status,Ex-drinker,14+,Persons,9,Per cent,,
2016,Tas,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,8.7,Per cent,,
2010,ACT,Alcohol,Drinking status,Daily,14+,Males,7,Per cent,,
2010,ACT,Alcohol,Drinking status,Weekly,14+,Males,51.3,Per cent,,
2010,ACT,Alcohol,Drinking status,Less than weekly,14+,Males,29.7,Per cent,,
2010,ACT,Alcohol,Drinking status,Ex-drinker,14+,Males,4.2,Per cent,,
2010,ACT,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,7.7,Per cent,,
2010,ACT,Alcohol,Drinking status,Daily,14+,Females,3.9,Per cent,,*
2010,ACT,Alcohol,Drinking status,Weekly,14+,Females,40,Per cent,,
2010,ACT,Alcohol,Drinking status,Less than weekly,14+,Females,41.1,Per cent,,
2010,ACT,Alcohol,Drinking status,Ex-drinker,14+,Females,5.8,Per cent,,
2010,ACT,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,9.3,Per cent,,
2010,ACT,Alcohol,Drinking status,Daily,14+,Persons,5.4,Per cent,,
2010,ACT,Alcohol,Drinking status,Weekly,14+,Persons,45.6,Per cent,,
2010,ACT,Alcohol,Drinking status,Less than weekly,14+,Persons,35.5,Per cent,,
2010,ACT,Alcohol,Drinking status,Ex-drinker,14+,Persons,5,Per cent,,
2010,ACT,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,8.5,Per cent,,
2013,ACT,Alcohol,Drinking status,Daily,14+,Males,9.1,Per cent,,
2013,ACT,Alcohol,Drinking status,Weekly,14+,Males,46.8,Per cent,,
2013,ACT,Alcohol,Drinking status,Less than weekly,14+,Males,28,Per cent,,
2013,ACT,Alcohol,Drinking status,Ex-drinker,14+,Males,4.8,Per cent,,
2013,ACT,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,11.3,Per cent,,
2013,ACT,Alcohol,Drinking status,Daily,14+,Females,4.1,Per cent,,
2013,ACT,Alcohol,Drinking status,Weekly,14+,Females,40.2,Per cent,,
2013,ACT,Alcohol,Drinking status,Less than weekly,14+,Females,37.1,Per cent,,
2013,ACT,Alcohol,Drinking status,Ex-drinker,14+,Females,6.5,Per cent,,
2013,ACT,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,12.1,Per cent,,
2013,ACT,Alcohol,Drinking status,Daily,14+,Persons,6.6,Per cent,,
2013,ACT,Alcohol,Drinking status,Weekly,14+,Persons,43.5,Per cent,,
2013,ACT,Alcohol,Drinking status,Less than weekly,14+,Persons,32.6,Per cent,,
2013,ACT,Alcohol,Drinking status,Ex-drinker,14+,Persons,5.7,Per cent,,
2013,ACT,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,11.7,Per cent,,
2016,ACT,Alcohol,Drinking status,Daily,14+,Males,3.6,Per cent,,#
2016,ACT,Alcohol,Drinking status,Weekly,14+,Males,48.6,Per cent,,
2016,ACT,Alcohol,Drinking status,Less than weekly,14+,Males,29.6,Per cent,,
2016,ACT,Alcohol,Drinking status,Ex-drinker,14+,Males,6.5,Per cent,,
2016,ACT,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,11.6,Per cent,,
2016,ACT,Alcohol,Drinking status,Daily,14+,Females,3.7,Per cent,,*
2016,ACT,Alcohol,Drinking status,Weekly,14+,Females,32.3,Per cent,,#
2016,ACT,Alcohol,Drinking status,Less than weekly,14+,Females,41.9,Per cent,,
2016,ACT,Alcohol,Drinking status,Ex-drinker,14+,Females,10.2,Per cent,,
2016,ACT,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,11.9,Per cent,,
2016,ACT,Alcohol,Drinking status,Daily,14+,Persons,3.6,Per cent,,#
2016,ACT,Alcohol,Drinking status,Weekly,14+,Persons,40.4,Per cent,,
2016,ACT,Alcohol,Drinking status,Less than weekly,14+,Persons,35.8,Per cent,,
2016,ACT,Alcohol,Drinking status,Ex-drinker,14+,Persons,8.4,Per cent,,#
2016,ACT,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,11.7,Per cent,,
2010,NT,Alcohol,Drinking status,Daily,14+,Males,11.3,Per cent,,
2010,NT,Alcohol,Drinking status,Weekly,14+,Males,45.7,Per cent,,
2010,NT,Alcohol,Drinking status,Less than weekly,14+,Males,30.5,Per cent,,
2010,NT,Alcohol,Drinking status,Ex-drinker,14+,Males,5.1,Per cent,,
2010,NT,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,7.4,Per cent,,
2010,NT,Alcohol,Drinking status,Daily,14+,Females,3.3,Per cent,,
2010,NT,Alcohol,Drinking status,Weekly,14+,Females,43.7,Per cent,,
2010,NT,Alcohol,Drinking status,Less than weekly,14+,Females,38,Per cent,,
